name,c1_raw,c2_raw,c3_raw
Townhouse Oak near Tugu Simpang Lima formerly GM Inn Hotel,0.23,48.96,9.090909090909092
Senangin Residence,0.25,0.0,0.0
Al Hanifi Hotel,0.0,0.0,0.0
Ilona Boutique Hotel,0.0,0.0,0.0
Hijrah Inn Banda Aceh,0.1,0.0,0.0
Hotel Grand Langkawi By ZIRI,0.23,33.77,8.56
Dancenter Hotel Gm Inn,0.22,0.0,8.0
Penginapan paradis,0.17,0.0,10.0
DETARA HOMESTAY SYARIAH,0.27,0.0,0.0
Celestial Guest House Banda Aceh,0.15000000000000002,0.0,0.0
Housing 58 homestay,0.27,0.0,0.0
Townhouse Oak near RSUD Dr. Zainoel Abidin formerly Poma Hotel,0.25,0.0,0.0
RedDoorz Syariah @ Panglima Nyak Makam Aceh,0.25,40.09,8.183240223463686
Fairuz Hotel Managed by Calandra,0.0,0.0,0.0
RedDoorz Syariah near Simpang Surabaya Aceh,0.35,30.73,4.583050847457627
Casapedian 001  (Guesthouse B. Aceh 2BR),0.17,0.0,0.0
Rumah ALMIRA Homestay,0.17,0.0,0.0
Hotel O near Rahmat International Wildlife Museum & Gallery formerly Tsacita 2,0.25,0.0,0.0
WISMA JEUMPA TAKENGON,0.42,0.0,0.0
Capital O 854 Ub Caisar Hotel,0.35,35.67,5.587999999999999
RedDoorz Syariah @ Sumur Tiga Beach Sabang Aceh,0.25,40.89,7.269811320754717
Hotel Grand Permata Hati,0.25,0.0,7.867924528301887
Intense Maia Hotel,0.2,0.0,0.0
