rank,name,saw_score,c1_weighted,c2_weighted,c3_weighted
111,De Papel Homestay,0.48452380952380947,0.26785714285714285,0.0,0.21666666666666665
112,Hotel Meurah Mulia,0.47658482142857145,0.32142857142857145,0.0,0.15515625
113,Permatahati Hotel and Convention Center,0.47240740740740744,0.30000000000000004,0.0,0.1724074074074074
114,Grand Lambhuk Hotel,0.4671896684656901,0.0,0.22218966846569008,0.24500000000000002
115,Hotel O near Masjid Raya Baiturrahman,0.4655042016806723,0.26785714285714285,0.0,0.19764705882352943
116,Hotel Grand Permata Hati,0.46455525606469006,0.26785714285714285,0.0,0.19669811320754718
117,UMAH BANGO BUNGALOW,0.4642857142857143,0.2142857142857143,0.0,0.25
117,Capital O 90682 Hotel Bayu Hill,0.4642857142857143,0.2142857142857143,0.0,0.25
119,Lumba Lumba Diving Centre & Beach Resort,0.46071428571428574,0.23571428571428574,0.0,0.225
120,Arpen Bungalow Iboih,0.45727272727272733,0.30000000000000004,0.0,0.1572727272727273
121,WISMA JEUMPA TAKENGON,0.45,0.45,0.0,0.0
121,Hotel Qory Syariah,0.45,0.45,0.0,0.0
123,grand koetaradja permai hotel,0.4462857142857143,0.2142857142857143,0.0,0.23199999999999998
124,Hotel Grand Nanggroe,0.445,0.375,0.0,0.06999999999999999
125,Dancenter Wisma Tsacita,0.44428571428571434,0.2142857142857143,0.0,0.23000000000000004
126,Furqan guest house fan room,0.4428571428571429,0.1928571428571429,0.0,0.25
127,Hotel Wisata Banda Aceh,0.44285714285714284,0.26785714285714285,0.0,0.175
128,Mars Hotel Banda Aceh,0.43813492063492065,0.26785714285714285,0.0,0.17027777777777778
129,Dancenter Hotel Gm Inn,0.4357142857142857,0.23571428571428574,0.0,0.2
130,Penginapan paradis,0.43214285714285716,0.18214285714285716,0.0,0.25
131,Dentalinn,0.41261904761904766,0.2892857142857143,0.0,0.12333333333333334
132,Dang-Dang Na Bungalows,0.4114285714285715,0.24642857142857147,0.0,0.165
133,Arizona Guesthouse,0.4023809523809524,0.23571428571428574,0.0,0.16666666666666669
134,Utama Lueng Bata Hotel,0.4010865734111687,0.18214285714285716,0.10894371626831151,0.11000000000000001
135,Medina House Aceh,0.40071428571428575,0.16071428571428575,0.0,0.24
136,Wisma Diamond,0.3921428571428572,0.18214285714285716,0.0,0.21000000000000002
137,RedDoorz Premium near Anoi Itam Beach Sabang,0.3845535714285715,0.24642857142857147,0.0,0.138125
138,Seventeen Hotel,0.38044155844155847,0.16071428571428573,0.0,0.21972727272727272
139,SEUNIA HOTEL,0.3761904761904762,0.26785714285714285,0.0,0.10833333333333332
140,QQ HOMESTAY,0.3758463211807468,0.08571428571428573,0.12888203546646107,0.16125
141,Wisma Syariah Lambhuk Banda Aceh RedPartner,0.37160714285714286,0.26785714285714285,0.0,0.10375000000000001
142,Guest House Gani Syariah,0.37142857142857144,0.32142857142857145,0.0,0.05
143,SeGuestHouse,0.3678571428571429,0.26785714285714285,0.0,0.1
144,OYO 1845 GM Inn Hotel,0.35642857142857143,0.24642857142857147,0.0,0.10999999999999999
145,Brand new vacation house- Private gated community,0.33452380952380956,0.1928571428571429,0.0,0.14166666666666666
146,Luxury villa with sea garden & sea view,0.32142857142857145,0.32142857142857145,0.0,0.0
147,al sattar  homestay syariah,0.3035714285714286,0.053571428571428575,0.0,0.25
148,Dream Hill Villa Burtelege Takengon,0.30000000000000004,0.30000000000000004,0.0,0.0
150,Housing 58 homestay,0.2892857142857143,0.2892857142857143,0.0,0.0
150,DETARA HOMESTAY SYARIAH,0.2892857142857143,0.2892857142857143,0.0,0.0
150,Hijrah Hotel,0.2892857142857143,0.2892857142857143,0.0,0.0
155,Luxe5 Inn Hj Hasnah Hasan,0.26785714285714285,0.26785714285714285,0.0,0.0
155,My Home Aceh ,0.26785714285714285,0.26785714285714285,0.0,0.0
155,RedDoorz Syariah @ Florensa Banda Aceh 2,0.26785714285714285,0.26785714285714285,0.0,0.0
155,Senangin Residence,0.26785714285714285,0.26785714285714285,0.0,0.0
155,Hotel Alfatih Banda Aceh,0.26785714285714285,0.26785714285714285,0.0,0.0
155,Hotel O near Rahmat International Wildlife Museum & Gallery formerly Tsacita 2,0.26785714285714285,0.26785714285714285,0.0,0.0
155,Townhouse Oak near RSUD Dr. Zainoel Abidin formerly Poma Hotel,0.26785714285714285,0.26785714285714285,0.0,0.0
159,Belazee homestay,0.25,0.0,0.0,0.25
159,Nagoya Inn Sabang,0.25,0.0,0.0,0.25
161,Hotel Anggrek Banda Aceh,0.23714285714285716,0.10714285714285715,0.0,0.13
162,Hotel Diana Banda Aceh,0.23571428571428574,0.23571428571428574,0.0,0.0
162,AMODA Hotel & Cafe By Sativa,0.23571428571428574,0.23571428571428574,0.0,0.0
164,Penginapan JANNAH Syariah,0.22999999999999998,0.0,0.0,0.22999999999999998
166,Intense Maia Hotel,0.2142857142857143,0.2142857142857143,0.0,0.0
166,Sei Hotel ,0.2142857142857143,0.2142857142857143,0.0,0.0
166,Gayo Belangi Resort,0.2142857142857143,0.2142857142857143,0.0,0.0
170,Gayo Room-a Boutique Hotel in Banda Aceh,0.18214285714285716,0.18214285714285716,0.0,0.0
170,HOUSING 58,0.18214285714285716,0.18214285714285716,0.0,0.0
170,Mitra Perdana Homestay ,0.18214285714285716,0.18214285714285716,0.0,0.0
170,Rumah ALMIRA Homestay,0.18214285714285716,0.18214285714285716,0.0,0.0
170,Casapedian 001  (Guesthouse B. Aceh 2BR),0.18214285714285716,0.18214285714285716,0.0,0.0
177,sekost&guesthouse,0.16071428571428575,0.16071428571428575,0.0,0.0
177,Z.I. Homestay Banda Aceh,0.16071428571428575,0.16071428571428575,0.0,0.0
177,Celestial Guest House Banda Aceh,0.16071428571428575,0.16071428571428575,0.0,0.0
